parameter,,logP,logP,logP
statistic,,mean,median,std
dataset,model,,,
bao.desi_2024_bao_all+sn.desdovekie,rlcdm,-1.9293053791206967,-1.9288750722660097,0.06577322846124505
bao.desi_2024_bao_all+sn.desdovekie,walcdm,-3.394019980761642,-3.392265685154996,0.08793470348379155
bao.desi_2024_bao_all+sn.desdovekie,wlcdm,-3.316551127943737,-3.3146935866292324,0.08106886220671805
bao.desi_2024_bao_all+sn.desy5,Alcdm,-2.5974000139563196,-2.5997113440272983,0.06853944461906165
bao.desi_2024_bao_all+sn.desy5,klcdm,-1.2297788454218366,-1.2286501795260847,0.05702766166946877
bao.desi_2024_bao_all+sn.desy5,lcdm,-2.5606501166787243,-2.561087219254034,0.07072840529509145
bao.desi_2024_bao_all+sn.desy5,mlcdm,-2.620402231093334,-2.621791300023574,0.07123646165487109
bao.desi_2024_bao_all+sn.desy5,nrunlcdm,-2.5741085934608154,-2.5739782324868656,0.06887823104896251
bao.desi_2024_bao_all+sn.desy5,rlcdm,-2.632491528938659,-2.634289982880887,0.0716703048986068
bao.desi_2024_bao_all+sn.desy5,walcdm,-1.7116643854303166,-1.7094264149267815,0.07756223787373898
bao.desi_2024_bao_all+sn.desy5,wlcdm,-1.8830495202077138,-1.8809741164326965,0.07273696658171395
bao.desi_2024_bao_all+sn.pantheonplus,Alcdm,-1.8386912503764985,-1.8372837472143146,0.06168406535330026
bao.desi_2024_bao_all+sn.pantheonplus,klcdm,-1.719579570794105,-1.7184122608081225,0.0628055186529667
bao.desi_2024_bao_all+sn.pantheonplus,lcdm,-1.8308545351218641,-1.8321777780834623,0.06120891356288406
bao.desi_2024_bao_all+sn.pantheonplus,mlcdm,-1.7374746512038415,-1.7353433314677318,0.06027764571083173
bao.desi_2024_bao_all+sn.pantheonplus,nrunlcdm,-1.9038776914456876,-1.9036992414493739,0.060495927193280535
bao.desi_2024_bao_all+sn.pantheonplus,rlcdm,-2.014087903112066,-2.0146843213324246,0.0650679472916676
bao.desi_2024_bao_all+sn.pantheonplus,walcdm,-4.806190362722879,-4.805303837926601,0.08735824723013001
bao.desi_2024_bao_all+sn.pantheonplus,wlcdm,-3.410923620764265,-3.4065407284818434,0.08255223777185665
bao.desi_2024_bao_all+sn.union3,Alcdm,-2.0720261614201254,-2.0731529622118288,0.06292753686128184
bao.desi_2024_bao_all+sn.union3,klcdm,-1.5142406829174682,-1.5113847151940423,0.05965663702720621
bao.desi_2024_bao_all+sn.union3,lcdm,-2.3198660390281174,-2.3173351642762476,0.06488291730471994
bao.desi_2024_bao_all+sn.union3,mlcdm,-2.123995248721385,-2.1228712631000928,0.06386038599544719
bao.desi_2024_bao_all+sn.union3,nrunlcdm,-2.283313192925815,-2.2810967529478123,0.06365511982068582
bao.desi_2024_bao_all+sn.union3,rlcdm,-2.276981161071427,-2.27447017833666,0.065040747893021
bao.desi_2024_bao_all+sn.union3,walcdm,-1.899396330870143,-1.8994805276172482,0.07631310752354423
bao.desi_2024_bao_all+sn.union3,wlcdm,-2.5273233467914107,-2.5271657973830717,0.07683345671574114
bao.desi_dr2+des_y1.joint,Alcdm,-2.2785526919128585,-2.2768211019578644,0.1445617781842094
bao.desi_dr2+des_y1.joint,klcdm,-2.8176455717833675,-2.818298327467005,0.15619198542450477
bao.desi_dr2+des_y1.joint,lcdm,-2.2849565901232523,-2.2814677761325868,0.15344011154464818
bao.desi_dr2+des_y1.joint,mlcdm,-0.6825340618948309,-0.680432501655929,0.07471837942637419
