parameter,,logP,logP,logP
statistic,,mean,median,std
dataset,model,,,
sn.desdovekie,rlcdm,-1.8091522239210351,-1.8096559618568904,0.04000558511959803
sn.desdovekie,walcdm,-2.952439068208194,-2.9535532267120743,0.06048028689906939
sn.desdovekie,wlcdm,-3.2910546761537107,-3.2885272878917817,0.05756930180607627
sn.desy5,Alcdm,-1.9031979719203145,-1.9037535816388527,0.03984445650402707
sn.desy5,klcdm,-2.02096004679888,-2.023098485537446,0.044337629847287195
sn.desy5,lcdm,-1.9224231124603135,-1.9217967418655917,0.040469820644827986
sn.desy5,mlcdm,-2.00623757356451,-2.005768506046877,0.04073332535337286
sn.desy5,nrunlcdm,-1.8830810033361276,-1.8815135477667582,0.042326138403662686
sn.desy5,rlcdm,-1.8783847740139148,-1.8771028886295085,0.03988319881006259
sn.desy5,walcdm,-2.5223529568838945,-2.5190011468509397,0.05900531071529204
sn.desy5,wlcdm,-2.966994505968495,-2.9668232271240527,0.05307674813353661
sn.pantheonplus,Alcdm,-1.843448744501949,-1.842057388503747,0.041242527344924514
sn.pantheonplus,klcdm,-2.160274066972969,-2.1591343530328686,0.04194179681318644
sn.pantheonplus,lcdm,-1.8208633166277572,-1.8192454324504297,0.03745706372744334
sn.pantheonplus,mlcdm,-1.7677971039152456,-1.7681881851102617,0.03910971845035208
sn.pantheonplus,nrunlcdm,-1.6939171628184895,-1.6917998244536534,0.03839536390118475
sn.pantheonplus,rlcdm,-1.7933288720268146,-1.793072587119127,0.040656580910825815
sn.pantheonplus,walcdm,-4.412916469652941,-4.413126935791354,0.06093835962318182
sn.pantheonplus,wlcdm,-3.483553531443729,-3.485472429776621,0.05439104587926503
sn.union3,Alcdm,-1.8574776912507427,-1.8573471416998526,0.036165885593734785
sn.union3,klcdm,-1.9128205044718676,-1.9136506039133083,0.03791387947530655
sn.union3,lcdm,-1.8598404124449863,-1.8593056545587672,0.03504734242941589
sn.union3,mlcdm,-1.977462606157274,-1.9767870231699858,0.03766713628584335
sn.union3,nrunlcdm,-1.9753045719744518,-1.9764956296343925,0.03588489968616754
sn.union3,rlcdm,-1.8267771441285838,-1.8273169377641354,0.0354508438884526
sn.union3,walcdm,-3.0654861592431457,-3.065059017925078,0.0528910027159618
sn.union3,wlcdm,-2.8977771747909347,-2.898625616546898,0.0502290758456975
