parameter,,logP,logP,logP
statistic,,mean,median,std
dataset,model,,,
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,Alcdm,-5.498242799901661,-5.501842532562023,0.2700221615082037
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,klcdm,-7.001347916779307,-7.004573673521918,0.2667020612678906
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,lcdm,-3.377900713583137,-3.382002468808423,0.2513652720098048
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,mlcdm,-6.971681062640554,-6.974053609621024,0.2706239453068567
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,nrunlcdm,-8.373234103600982,-8.35770936428844,0.2648783085712656
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,rlcdm,-7.514069020544824,-7.519554267167678,0.258872695431419
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,walcdm,-0.0453721597118747,-0.0441334960842141,0.0107623528329506
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,wlcdm,-6.187326506898196,-6.181402995072403,0.2656918016662239
bao.desi_dr2+planck_2018_CamSpec+sn.pantheonplus,Alcdm,-2.43308037671513,-2.4278127187803875,0.2107864976362239
bao.desi_dr2+planck_2018_CamSpec+sn.pantheonplus,klcdm,-3.790307489262339,-3.7840396838073502,0.2216347618858434
bao.desi_dr2+planck_2018_CamSpec+sn.pantheonplus,lcdm,-0.3758557130642712,-0.371477351134672,0.0613125894451291
bao.desi_dr2+planck_2018_CamSpec+sn.pantheonplus,mlcdm,-3.5551115174373544,-3.5489050305554883,0.2171101915096521
bao.desi_dr2+planck_2018_CamSpec+sn.pantheonplus,nrunlcdm,-5.12205887477073,-5.127569022272382,0.2256752364310529
bao.desi_dr2+planck_2018_CamSpec+sn.pantheonplus,rlcdm,-4.111060717049449,-4.098193381278634,0.2143723465050878
bao.desi_dr2+planck_2018_CamSpec+sn.pantheonplus,walcdm,-2.063206796167562,-2.048001175993704,0.2058528776539893
bao.desi_dr2+planck_2018_CamSpec+sn.pantheonplus,wlcdm,-4.082120947552185,-4.080050190886595,0.2225175666288081
bao.desi_dr2+planck_2018_CamSpec+sn.union3,Alcdm,-3.376058097603144,-3.37457374126825,0.2360762654902846
bao.desi_dr2+planck_2018_CamSpec+sn.union3,klcdm,-5.044232611178495,-5.037961042113693,0.2411106257751117
bao.desi_dr2+planck_2018_CamSpec+sn.union3,lcdm,-1.6853245325078232,-1.6779346887869906,0.1977688346769916
bao.desi_dr2+planck_2018_CamSpec+sn.union3,mlcdm,-4.720800298165117,-4.716698415180872,0.2330289046910747
bao.desi_dr2+planck_2018_CamSpec+sn.union3,nrunlcdm,-6.26263326812115,-6.2455901840817205,0.2364026870635307
bao.desi_dr2+planck_2018_CamSpec+sn.union3,rlcdm,-5.192989023346733,-5.185135250244912,0.2323701531323792
bao.desi_dr2+planck_2018_CamSpec+sn.union3,walcdm,-0.2939591653619518,-0.2921275679564132,0.0584272602262196
bao.desi_dr2+planck_2018_CamSpec+sn.union3,wlcdm,-5.174715495512964,-5.174614588726399,0.2377291563759334
bao.desi_dr2+planck_2018_plik+sn.desy5,Alcdm,-4.919464427838951,-4.920194872806405,0.2799495496935014
bao.desi_dr2+planck_2018_plik+sn.desy5,klcdm,-5.927812722998533,-5.918741955028281,0.2698063519915835
bao.desi_dr2+planck_2018_plik+sn.desy5,lcdm,-3.3029404198615366,-3.315491216695364,0.2643754303314909
bao.desi_dr2+planck_2018_plik+sn.desy5,mlcdm,-6.059432649988885,-6.05347608399029,0.2722057051702927
bao.desi_dr2+planck_2018_plik+sn.desy5,nrunlcdm,-7.8254162250003505,-7.8151752459050385,0.2658487532011477
bao.desi_dr2+planck_2018_plik+sn.desy5,rlcdm,-6.5445153265168505,-6.538223945892014,0.2779524496537804
