,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,7.636132105734653,10.929811524095356,-3.2936794183606253,2.3462108897389022,0.016611642294926815,2.395192480543893
1,7.440483244996251,10.677804854335434,-3.2373216093401425,2.260569774925983,0.016767690989841627,2.391762450398546
2,7.462466743290754,10.742054344202728,-3.279587600913146,2.576015685134484,0.018875289804949253,2.3479848346859544
3,7.555100910790209,10.742578240904642,-3.1874773301151436,2.855733158894026,0.023294604904798,2.2685680744130754
4,7.243741291402223,10.51444398984087,-3.2707026984389813,2.0419242147462455,0.014331326939616458,2.448849617255095
5,7.33099051217858,10.878582605843242,-3.547592093664207,2.2996101384048444,0.012661531934436853,2.4931500700649827
6,7.980368532911491,11.10374412116289,-3.1233755882512924,2.7983928109034633,0.024130477104054627,2.255045434091273
7,7.315376552944947,10.80530746805703,-3.4899309151123816,2.9933764174461626,0.01868611335735809,2.351734376586164
8,7.76294136435525,11.043650003901384,-3.280708639545992,2.8281688094300783,0.02112335273245107,2.305772408196272
9,7.703386475009104,11.171999264378421,-3.4686127893692174,2.9144383424523763,0.01842705765406912,2.356923195506589
10,7.005467906741508,10.536344211391125,-3.5308763046496097,1.766356835704702,0.009197293702851193,2.6046321804978265
11,7.542368627598883,10.96768375250359,-3.4253151249040457,2.175298319603856,0.013300771696725975,2.475612858049852
12,7.5377816894496235,10.81989104807802,-3.2821093586280767,2.228011133101866,0.015768332638613308,2.4142339823468815
13,7.778626322745261,10.997678723013792,-3.219052400268083,2.399526056432645,0.018347264800853864,2.3585342870573167
14,7.507698575687648,10.87704943224852,-3.369350856561141,1.884307201341505,0.011755779643899884,2.5193917054670845
15,7.225327463572178,10.622086363100856,-3.396758899528322,2.3579440512411587,0.015128091343541079,2.4292980230020165
16,7.32714799531994,10.69850016427818,-3.3713521689578556,2.3215198692416994,0.015207397122990216,2.4274019438157026
17,7.01643041418982,10.317784055812872,-3.3013536416228817,2.360312353228897,0.01661048904587716,2.3952179346880555
18,7.893707447736126,11.061138024479078,-3.167430576742845,3.3715109826110847,0.028851696021609103,2.185506962375408
19,7.72686375565889,10.87723622796355,-3.1503724723052073,2.9118635122015792,0.02466615811703529,2.2465913090368734
20,7.655232927957407,10.888283470907197,-3.233050542949968,2.514484861010068,0.019157417871046096,2.3424535617089806
21,7.875196509647033,11.235997854862205,-3.3608013452148953,2.1860719102933217,0.014259343967891242,2.4506628617736497
22,7.408751160370123,10.795079155981831,-3.3863279956121914,2.4991040794381583,0.016428302909412964,2.399258713821635
23,7.2517522052302255,10.652098120432896,-3.4003459152027062,2.288560406269264,0.01452382877479845,2.4440396865735226
24,7.707201963184964,10.81692274172108,-3.109720778536939,3.3591009213790084,0.030228257917036018,2.1670865155322834
25,7.536970737944905,10.959672092665912,-3.4227013547215392,2.7683970390279864,0.01803144080276769,2.3649718629349525
26,7.676623542626551,11.02569998556001,-3.3490764429334376,2.228410182267993,0.014771487417283513,2.4379335906006063
27,7.605823086513631,10.964078943066887,-3.358255856554024,1.6611627320654883,0.010169880296921325,2.5699990189939306
28,7.504798646934326,10.943640380906118,-3.4388417339723674,2.098234932549804,0.012543143743708943,2.4964836882693087
