,,theta0,theta1,logL,logL_birth,nlive
labels,,$\theta_0$,$\theta_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,
88,5.280724646538745e-76,0.6249393203036497,-2.7401667887262495,-179.49700748915114,-193.83607359690149,125
89,7.045712775128992e-76,-0.5346702065996762,-1.1794375754448163,-179.20068333662266,-192.5219975805074,125
90,2.375879668152053e-75,0.2260217859783129,-2.3182788054576466,-177.97718163332172,-398.4032596398427,125
91,5.462815831242423e-75,-5.183111112303358,-2.976708141046885,-177.1366168423466,-268.9270334720233,125
92,9.279710710212561e-75,0.7992174504789018,-2.815326108726655,-176.5987826766804,-inf,125
93,1.1276806907183077e-74,0.20770220642746473,-0.9109321387698088,-176.39589674948286,-228.63066876950984,125
94,2.371203733280609e-74,-4.261826887879473,-0.1433246322125452,-175.64469388668664,-inf,125
95,3.3344486334640867e-74,0.26217986100085966,-1.024056720113717,-175.29581610918018,-inf,125
96,2.636393853329183e-73,-1.113105943034312,-3.213190293948687,-173.2201581662093,-492.895944398886,125
97,3.97342457884883e-73,-0.6085002157471431,-2.346379111472166,-172.80197367810936,-212.76427573725417,125
98,4.114023544795007e-73,-2.668846827218807,-4.453673214404158,-172.75923233133594,-391.22289012917787,125
99,6.507121155085065e-73,0.6562537039370273,-2.555381760964443,-172.29276853645987,-227.99393915971933,125
100,1.5270190542559693e-72,-1.5497664093853354,-3.6353486377723243,-171.43179490896077,-403.57368386593777,125
101,8.238677276139823e-70,-4.744465335090311,-1.8182881315980346,-165.13313425141573,-179.49700748915114,125
102,1.0521341383832126e-69,0.5256714009279158,-0.5170629402508098,-164.8806001809122,-378.03969843005115,125
103,1.0841283248936415e-69,-0.8351707259032652,0.1202022278190027,-164.84267634850974,-397.63950605538867,125
104,2.614503091385043e-69,-0.6955723472408968,0.23942849485005802,-163.9544103987243,-172.80197367810936,125
105,3.0428353264458357e-68,1.0511956223566683,-2.7261371709063957,-161.4921414392048,-409.01847487139435,125
106,1.8685094676810707e-67,4.580824342258234,2.31037908093319,-159.66923689355724,-inf,125
107,2.0051625219670193e-66,-2.7560651371354243,-4.422206408506469,-157.28809955202894,-446.7438750819927,125
108,1.2782074958417617e-64,0.8423612450145557,-0.7367818384521563,-153.1252276096128,-inf,125
109,1.3576132678893e-64,-1.5099602359892934,-0.43709490762227166,-153.056989934616,-inf,125
110,5.668070944258417e-62,-1.6537312927273273,-0.3522126094330851,-147.01473094853634,-164.84267634850974,125
111,2.512733863577012e-61,-4.4184256511472935,2.5959264494227874,-145.51765517518896,-inf,125
112,3.0988464829965966e-61,-1.6859051931145679,-0.7556165544079025,-145.30002841463926,-inf,125
113,4.169933473667866e-61,-0.5261960134014174,0.8212073864237821,-144.9951901028482,-inf,125
114,7.895912409239438e-61,-0.9535263998388182,0.6884254958870031,-144.34877680631075,-455.69646990407307,125
115,6.464491719498131e-60,-4.592154235382267,-4.715950317674501,-142.2382443638899,-145.51765517518896,125
116,7.377740044676712e-58,-0.026677106095898573,0.9729831560647568,-137.49296303233837,-144.34877680631075,125
117,7.739548337383714e-57,2.249859316653783,-3.4139078746372986,-135.13453380284614,-inf,125
118,1.429384678727678e-56,-0.6344954565884713,4.1569040696535335,-134.51307981468617,-inf,125
119,1.4639550492275505e-56,1.4667727060775384,-2.6511846212568195,-134.4812139911213,-176.5987826766804,125
120,5.40747418264545e-56,-4.171743531747234,-0.9901635024478583,-133.16660542798718,-201.49553098950642,125
121,5.997084231802172e-56,-0.5023340728794858,1.091809983884219,-133.0551459730669,-319.68430017519114,125
122,2.2853733349152588e-55,1.059805362643269,3.9725814628342846,-131.7093367040844,-inf,125
123,2.43207273273498e-55,4.3266140859455255,2.7245311525359384,-131.6391540603098,-455.5788600672802,125
124,2.2490345984639582e-54,-4.050084783883502,1.3867147714061296,-129.4068436110843,-inf,125
125,6.130786902234058e-54,-3.483000604132379,-4.611561200074876,-128.39605338747378,-176.39589674948286,125
126,1.312864072318141e-53,-1.735573818336844,-1.719517315169485,-127.6266121701317,-278.682619493591,125
127,3.9443276610489424e-53,-1.621057967745143,-2.869146007427283,-126.51857655428513,-127.6266121701317,125
128,1.765175193300128e-52,1.8372999055847812,-2.9605007695226147,-125.01205185817129,-inf,125
129,3.905448022941488e-52,1.286992488138492,-0.26824196548300705,-124.20996112634417,-161.4921414392048,125
130,4.3966522891371515e-52,0.4275936362995001,1.0789197162548518,-124.08352205603431,-inf,125
131,8.835732006328761e-52,-4.023670122025047,1.4577408179971627,-123.37759333899533,-inf,125
132,1.1953898694719948e-50,4.573238365333939,0.9752744716303043,-120.76478655592646,-inf,125
133,1.3627025598343895e-50,0.6263096390688787,1.0137128274692264,-120.62582086478311,-954.0726195571142,125
134,1.443950488799315e-50,1.4161851479860985,-0.8547755886508064,-120.5599398470599,-inf,125
135,9.138926112558446e-50,-2.1842018472722877,-1.0288440658239608,-118.70681154435076,-inf,125
136,1.1281462205447337e-49,-0.9137394173018443,1.2767185695350918,-118.48822539429784,-inf,125
137,4.4981282352918555e-49,-4.092364996253764,-4.675498306028338,-117.09717163493292,-inf,125
138,7.216866509781693e-49,-2.7935156176521763,4.528785470089435,-116.61644397053327,-123.37759333899533,125
139,2.7350595391488377e-48,2.0645736882469734,-3.0555934817658628,-115.27615836019518,-460.4843644016915,125
140,3.9101554578137333e-48,3.865412798330947,-3.7218250571669045,-114.9107662632859,-551.3270656750624,125
141,1.7810963225433602e-47,-2.537160508179653,4.492799004898108,-113.38656104663168,-114.9107662632859,125
142,4.0876837263091005e-47,2.1082697717312016,-3.061326246958807,-112.54784347968632,-120.5599398470599,125
143,5.203427197588371e-47,1.5467812687404052,-1.2187888965638756,-112.2985363086317,-306.87320409994163,125
144,5.374372068253943e-47,4.761133898692918,-1.1191998499710207,-112.25824388125538,-197.31239415597764,125
145,9.21900788940326e-47,-2.159794190130386,-1.3984332699372244,-111.71065002669195,-inf,125
146,1.908016935781317e-46,-4.077234404158281,1.9334101380971944,-110.97529974245893,-171.43179490896077,125
147,5.377210306346322e-46,1.233160512859726,0.5385981959627628,-109.93122631272071,-inf,125
148,8.726991778846656e-46,0.8395789284151789,1.0904731349780787,-109.4390071261988,-inf,125
149,9.455783427725563e-46,1.9569384372012095,-2.8401314791541923,-109.35083312545162,-inf,125
150,1.314598651880919e-44,-4.3162077849189675,-1.6920566599244147,-106.71078991570724,-109.35083312545162,125
151,2.9315880300445276e-44,1.1045031752620682,0.86702286949048,-105.90080889142547,-inf,125
152,8.266575936889888e-44,-0.03130361401604809,1.6736701967846832,-104.85616459869176,-569.562280584935,125
153,1.0277626163267826e-43,-2.6719167443370777,0.2925577329266398,-104.63044750271766,-125.01205185817129,125
154,1.7754106755470382e-43,-2.9952214457571267,-0.19927757757129605,-104.07583179279409,-117.09717163493292,125
155,2.9031010835703126e-43,-3.0190384190043478,0.07039660590370023,-103.57611588099782,-191.118413121629,125
156,2.912160298322247e-43,-2.3951558020981536,0.5940068735432575,-103.56503203984724,-124.08352205603431,125
157,4.425158068437499e-43,-2.854582209123861,-0.5263131983942442,-103.13865304701554,-429.8581462525464,125
158,8.119784906130515e-43,-2.2148597889097936,-1.6354707486885287,-102.52368721243909,-inf,125
159,9.83947051557787e-43,-2.275430088242263,-1.5235816334310304,-102.32362080699596,-183.97136363784864,125
160,3.074391391550825e-42,4.758559150212756,-1.589257559425242,-101.17636248435407,-inf,125
161,1.745539737478443e-41,-2.956289708918127,-0.6463738480895769,-99.43185236895876,-181.0292210796482,125
162,2.376923733768816e-41,-2.079589418780879,-3.2070704486513177,-99.11514090949925,-272.0643085573718,125
163,3.0403994223110143e-41,-3.475409267113909,-4.45288442814176,-98.8609909469296,-inf,125
164,5.931777532717646e-41,4.401462519109147,1.5328170743434129,-98.18468775232687,-103.13865304701554,125
165,6.206866467925839e-41,1.9220824499122209,-2.519068713474671,-98.13138732927888,-inf,125
166,7.509971926539567e-41,1.665141088398352,-0.11633584141515385,-97.93284360606233,-238.9320984042699,125
167,1.5420440801573778e-40,1.6509923343695139,3.756646358969528,-97.20541320995807,-153.056989934616,125
168,9.780135470255394e-40,4.5844969227586745,-0.49675245877696916,-95.35020056567998,-376.01882330693655,125
169,1.2692483322746943e-39,-2.527126884633587,-3.801703655914598,-95.08157577785289,-inf,125
170,2.040731109141919e-39,-3.8036004950409463,-1.1636879711485362,-94.59872433861756,-112.54784347968632,125
171,2.8396386616286893e-39,-0.9161424079331439,1.750729356799873,-94.26038748719597,-inf,125
172,3.1763513828357554e-39,-3.510359094706687,-0.9037743749819249,-94.14036295562627,-inf,125
173,4.879926302546817e-39,1.2047068451716747,1.0648753196434582,-93.7029978423413,-175.29581610918018,125
