,,Ωbh2,Ωch2,h,τ,ns,lnA,logL,logL_birth,nlive
labels,,$\Omega_b h^2$,$\Omega_c h^2$,$h$,$\tau$,$n_s$,$\ln(10^{10}A_s)$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
0,0.0,0.0260067684297419,0.217241502109238,0.781536989244288,0.103883440590908,1.05446514125597,1.61268067256475,-5582816.63141328,-inf,153
1,0.0,0.0191063699490889,0.189710123765302,0.68882645836656,0.0909056403662964,1.01934547101374,1.68603503141038,-5242936.88691172,-inf,152
2,0.0,0.0238264679429944,0.245580892016766,0.746782355825289,0.0592967282868056,1.0133627920977,1.67833633519726,-5202652.37164601,-inf,151
3,0.0,0.0238262279922137,0.249550085239877,0.661248820965927,0.0833639452833655,0.962772874080492,1.74981061129016,-4945942.14985933,-inf,150
4,0.0,0.02010268208979,0.244593548004921,0.673504989647313,0.0446859066421251,1.01517561314655,1.74297437417945,-4643735.36838164,-inf,153
5,0.0,0.0238958974716919,0.22243758271448,0.680495029249824,0.0851084999198339,0.865933696498756,1.88473262329031,-4383857.26446197,-inf,152
6,0.0,0.0195758813065424,0.149271507547117,0.69661084412989,0.0906317064503298,0.940939099429338,1.76794870650998,-4087600.15189472,-inf,151
7,0.0,0.0255303823677031,0.253717494260572,0.684298334025914,0.0865132084433227,0.861566926611292,1.97732536487674,-3977993.82705387,-inf,150
8,0.0,0.0215260514491402,0.239560464692925,0.678078284939307,0.117386359166348,1.02995905003232,1.90521868890589,-3909710.34641658,-inf,153
9,0.0,0.0248564623055303,0.213647383299713,0.752721101263898,0.112418132732988,0.986720819692054,1.90748276891664,-3682204.94641941,-inf,152
10,0.0,0.0217244225668567,0.199666248911019,0.734945204702569,0.0526026038112119,0.935880677421712,1.91301929039487,-3344436.15924514,-inf,151
11,0.0,0.0225174674256047,0.146669955014413,0.749131866719862,0.114842307716931,0.959892609413117,1.87361025416961,-3252560.73826518,-inf,150
12,0.0,0.0245338473548802,0.115346328405684,0.73842554776215,0.0416200634257501,0.862418968571574,1.68770932576903,-3141630.75883629,-inf,153
13,0.0,0.0225336287364124,0.239271504559708,0.75603558131631,0.0912397958378203,0.998194922659609,2.04745039592772,-3031090.83125514,-inf,152
14,0.0,0.022852014933916,0.245206134504271,0.745139913499109,0.0866710584298497,0.861144961585261,2.21934608679242,-2869339.07834606,-inf,151
15,0.0,0.0243238403623354,0.152629526679725,0.802759094178071,0.112998903275938,0.857132553183716,2.06612306838651,-2837886.98586505,-inf,150
16,0.0,0.0211263592466993,0.205362896643346,0.646180669463936,0.0546302975292282,1.05761593195835,1.8412810899528,-2655635.91908105,-inf,153
17,0.0,0.0238634920525476,0.089354987507342,0.717219877897006,0.0899000510427574,1.08187245256191,1.61160780036231,-2324859.56719679,-3977993.82705387,152
18,0.0,0.0192329070939034,0.206320599188545,0.653112462616905,0.0633964156631599,0.871706509158308,2.19781241066901,-2221430.14202872,-inf,151
19,0.0,0.0197782569581823,0.246781356443319,0.679469966586769,0.0832683281609886,0.871441747512101,2.3529914601764,-2148449.4578008,-inf,150
20,0.0,0.020822108551387,0.162827680454757,0.819449188804483,0.0647220984005137,1.06797056652723,1.98756824005902,-2116635.4537372,-inf,153
21,0.0,0.0207199163631908,0.144551893318046,0.757353010648319,0.0752397136955128,0.863978799611433,2.11975349291415,-2096483.38467511,-inf,152
22,0.0,0.0261237618712924,0.188800543301039,0.817295293965793,0.0678651475592607,1.07304714573246,1.95204812166707,-2059161.46329358,-inf,151
23,0.0,0.0216728147407115,0.230305697977516,0.703439939453556,0.0996316692810096,0.869870138027306,2.33375706589363,-2041297.53723236,-inf,150
24,0.0,0.0219781090675567,0.053445146785315,0.807679326774621,0.0538949753811596,1.06332131682824,3.83457696943646,-1990680.09469453,-inf,153
25,0.0,0.0259622951613987,0.25189937872108,0.734181665771796,0.0537695206925099,1.04621250501162,2.0289513560678,-1975973.92561256,-4945942.14985933,152
26,0.0,0.0221663380639066,0.0716813578104689,0.750327392455496,0.0758961315947093,0.978872793651912,3.87718048109629,-1686039.22174724,-inf,151
27,0.0,0.0251708514208054,0.0738378671081169,0.667218335611931,0.083101043127324,1.07028709489962,3.72024286975061,-1671491.93896171,-inf,150
28,0.0,0.0236498801942009,0.0754704286213706,0.817324064381436,0.0567688344987547,1.07101043813051,1.70053579718354,-1657454.65482873,-inf,153
